source_track_id,source_Track Name,source_Artist Name(s),source_Danceability,source_Energy,source_Key,source_Loudness,source_Mode,source_Speechiness,source_Acousticness,source_Instrumentalness,source_Liveness,source_Valence,source_Tempo,source_pid,source_region_genre_id,source_position,source_pid_position,target_track_id,target_Track Name,target_Artist Name(s),target_Danceability,target_Energy,target_Key,target_Loudness,target_Mode,target_Speechiness,target_Acousticness,target_Instrumentalness,target_Liveness,target_Valence,target_Tempo,target_pid,target_region_genre_id,target_position,target_pid_position,label
0AlijWwIGuJLhgHFL1Ug7f,lone,Swik,0.409,0.0735,1.0,-26.83,1.0,0.0432,0.871,0.843,0.1,0.0395,72.997,29,western_sleep,90,29_90,15hyn4FNUMbHexh7kLvb0e,"All I Hear Is Birds,",Elliott Jack Sansom,0.562,0.0419,6.0,-28.4,1.0,0.04,0.993,0.946,0.108,0.258,119.837,,,,,0
1CGzOkrxB9bNaMf95Nd3EF,Slow Tonight,Tom Misch,0.939,0.646,7.0,-8.506,0.0,0.0397,0.0301,0.0506,0.0967,0.969,130.012,6,hindi_sleep,12,6_12,6tX47tfge8kgWJSFVoS7cg,Missing You,LEISURE,0.77,0.529,4.0,-9.21,0.0,0.0322,0.509,0.46,0.0988,0.459,104.988,6.0,hindi_sleep,13.0,6_13,1
7vwTvVDpsONocB0zr8ShtJ,Ranjha - Lofi Flip,VIBIE;Jasleen Royal;B Praak;Bollywood Lofi,0.581,0.432,1.0,-10.701,1.0,0.168,0.799,0.000178,0.0844,0.309,150.185,8,hindi_study,29,8_29,5M2f7YbqT2m2uOlUJNkDIP,Sam Dam Dand Bhed,Kailash Kher;Bapi-Tutul;Sandeep Nath,0.558,0.886,5.0,-8.556,0.0,0.0508,0.0156,2.9e-05,0.345,0.063,78.256,,,,,0
5YyXq5rzZyyEbNptsLFz3W,Khwahish,Mitraz;Arooh,0.689,0.447,0.0,-9.242,1.0,0.0254,0.826,0.000183,0.115,0.309,112.064,17,western_chill_lyrics,38,17_38,6udC4b4jOSnHb9ItnXgKLR,Saibo,Sachin-Jigar;Shreya Ghoshal;Tochi Raina,0.619,0.429,2.0,-7.867,1.0,0.028,0.738,1.35e-05,0.136,0.545,90.058,,,,,0
4Q6kcMuzi2X60hl37hVWQd,Sycamore,Leavv;Makzo;Beats for Trees,0.68,0.278,4.0,-9.171,0.0,0.0905,0.902,0.193,0.0991,0.549,77.214,25,western_focus,35,25_35,4qhLmcwhWxD17aWb2eN8sz,hot mess,giannis wang,0.72,0.166,1.0,-14.083,1.0,0.0486,0.841,0.828,0.0937,0.372,88.002,25.0,western_focus,36.0,25_36,1
4VozbKoyjUwNsnCfR4Z1CV,Samba de Janeiro,Mazzocchi;BELM;LMNTRX;CIRE,0.645,0.903,11.0,-6.808,0.0,0.0919,0.00761,0.762,0.307,0.482,127.928,19,western_dj,117,19_117,6QqG2ia9fn0ykLfoTMGSev,Me Gusta,Florian Picasso,0.781,0.962,2.0,-5.539,1.0,0.108,0.061,0.468,0.0873,0.773,126.984,,,,,0
54FHPfktSbIyWsaMz5yZix,Chali Gaali Chuudduu,Mani Sharma;Haricharan;Padmalatha;Malavika (U.S),0.589,0.46,5.0,-7.852,1.0,0.0371,0.718,0.0,0.0766,0.627,105.017,13,telugu_sleep,48,13_48,0Y61GxhLwaCYDJ2ojA7tZv,Prema Desam,Hemachandra Vedala;Saindhavi,0.809,0.698,4.0,-7.084,0.0,0.1,0.333,0.017,0.253,0.624,100.994,,,,,0
2qpnuHadZJsWolbDNNdM8h,Aha Allari,Chitra;Raqeeb Alam,0.734,0.718,5.0,-8.537,0.0,0.097,0.212,4.85e-05,0.0629,0.964,80.959,12,telugu_chill_lyrics,25,12_25,6vnND7QAHhtMNQRHihly2t,Cheliya Cheliya,Devi Sri Prasad;Kalpana Patowary,0.799,0.635,0.0,-7.906,1.0,0.145,0.379,2.38e-05,0.0879,0.594,94.993,12.0,telugu_chill_lyrics,26.0,12_26,1
62VaU1bdUhIp6JkCvGrbBt,Golden Grain,Avery's Ambient,0.156,0.0465,7.0,-35.217,0.0,0.0532,0.924,0.559,0.126,0.0356,139.444,28,western_sleep,129,28_129,0J32M4Uc5qVhKwCvdDbACb,Higher - Notre Dame Remix,BLOND:ISH;Black Circle,0.608,0.773,7.0,-6.682,0.0,0.0433,0.000395,0.771,0.0951,0.401,123.945,,,,,0
3OGGpGN0dScosSzcM5GhnX,396 Hz Let Go of Fear & Guilt,Zenara Stillness,0.156,0.0107,8.0,-20.024,1.0,0.0399,0.961,0.985,0.129,0.0355,78.125,24,western_focus,167,24_167,0BNPZd51SdRVOM1LdCzeQc,Solfeggio Frequencies 285 Hz,Zenara Stillness,0.0897,0.104,1.0,-24.168,1.0,0.0403,0.975,0.915,0.109,0.0348,86.02,24.0,western_focus,168.0,24_168,1
