pid,region_genre_id,input_Danceability,input_Energy,input_Key,input_Loudness,input_Mode,input_Speechiness,input_Acousticness,input_Instrumentalness,input_Liveness,input_Valence,input_Tempo,input_track_id,input_Track Name,input_Artist Name(s),input_pid_position,target_Danceability,target_Energy,target_Key,target_Loudness,target_Mode,target_Speechiness,target_Acousticness,target_Instrumentalness,target_Liveness,target_Valence,target_Tempo,target_track_id,target_Track Name,target_Artist Name(s),target_pid_position
1,hindi_chill_lyrics,0.64,0.791,6.0,-5.342,1.0,0.0647,0.000627,0.0636,0.0802,0.311,129.997,5Gs6NY7QTgEq77V3DtPagv,Unstoppable Now,The Phantoms,1_13,0.465,0.836,6.0,-4.353,1.0,0.0632,0.0387,1.02e-05,0.13,0.224,169.9,4FcZBCb6dANhvsEnFlgJwG,"Ghamand Kar (From ""Tanhaji - The Unsung Warrior"")",Sachet Tandon;Parampara Tandon;Sachet-Parampara,1_14
1,hindi_chill_lyrics,0.465,0.836,6.0,-4.353,1.0,0.0632,0.0387,1.02e-05,0.13,0.224,169.9,4FcZBCb6dANhvsEnFlgJwG,"Ghamand Kar (From ""Tanhaji - The Unsung Warrior"")",Sachet Tandon;Parampara Tandon;Sachet-Parampara,1_14,0.64,0.78,2.0,-8.578,1.0,0.0791,0.178,1.32e-05,0.0922,0.552,80.057,4XuVXSMJkiHJXqFsRDZ2w7,Maula Maula,"Rooshin Dalal, Sukhwinder Singh",1_15
1,hindi_chill_lyrics,0.64,0.78,2.0,-8.578,1.0,0.0791,0.178,1.32e-05,0.0922,0.552,80.057,4XuVXSMJkiHJXqFsRDZ2w7,Maula Maula,"Rooshin Dalal, Sukhwinder Singh",1_15,0.596,0.796,7.0,-7.266,1.0,0.0732,0.177,3.64e-05,0.621,0.481,90.017,5rNa4JvSQIUVl34hDuA39v,Get Ready To Fight Again,Pranaay;Ginny Diwan,1_16
1,hindi_chill_lyrics,0.596,0.796,7.0,-7.266,1.0,0.0732,0.177,3.64e-05,0.621,0.481,90.017,5rNa4JvSQIUVl34hDuA39v,Get Ready To Fight Again,Pranaay;Ginny Diwan,1_16,0.708,0.526,10.0,-11.187,1.0,0.0314,0.14,0.00137,0.105,0.389,127.494,3aozKh1z4SSZXAm7TpcXtk,Maa Tujhe Salaam,A.R. Rahman,1_17
1,hindi_chill_lyrics,0.708,0.526,10.0,-11.187,1.0,0.0314,0.14,0.00137,0.105,0.389,127.494,3aozKh1z4SSZXAm7TpcXtk,Maa Tujhe Salaam,A.R. Rahman,1_17,0.522,0.872,6.0,-8.847,1.0,0.0799,0.11,1.2e-05,0.0811,0.537,120.067,5zlB4HfyZ4C5EbgbHPkYIN,Mila Toh Marega,Ravindra Upadhyay;Vishvesh Parmar;Sandeep Patil,1_18
1,hindi_chill_lyrics,0.522,0.872,6.0,-8.847,1.0,0.0799,0.11,1.2e-05,0.0811,0.537,120.067,5zlB4HfyZ4C5EbgbHPkYIN,Mila Toh Marega,Ravindra Upadhyay;Vishvesh Parmar;Sandeep Patil,1_18,0.424,0.462,5.0,-10.537,0.0,0.027,0.208,0.492,0.1,0.321,80.04,140C5VkKklxTT5TU2nKPds,Kalki - Revisted Theme,Jakes Bejoy,1_19
1,hindi_chill_lyrics,0.424,0.462,5.0,-10.537,0.0,0.027,0.208,0.492,0.1,0.321,80.04,140C5VkKklxTT5TU2nKPds,Kalki - Revisted Theme,Jakes Bejoy,1_19,0.594,0.832,11.0,-4.044,1.0,0.0397,0.107,0.000373,0.419,0.474,89.977,2T09SGsKR0gAeRr5k5rfUL,Aag Hun Main,Santhosh Narayanan;Suraj Jagan;Arunraja Kamaraj,1_20
1,hindi_chill_lyrics,0.594,0.832,11.0,-4.044,1.0,0.0397,0.107,0.000373,0.419,0.474,89.977,2T09SGsKR0gAeRr5k5rfUL,Aag Hun Main,Santhosh Narayanan;Suraj Jagan;Arunraja Kamaraj,1_20,0.645,0.438,2.0,-10.328,1.0,0.0842,0.388,0.0,0.0947,0.35,107.532,1gjqG4t0xjcVw79NJZ1KVA,Shiva Mantra Ghanapaatha,Uma Mohan,1_21
1,hindi_chill_lyrics,0.645,0.438,2.0,-10.328,1.0,0.0842,0.388,0.0,0.0947,0.35,107.532,1gjqG4t0xjcVw79NJZ1KVA,Shiva Mantra Ghanapaatha,Uma Mohan,1_21,0.693,0.778,1.0,-8.087,0.0,0.248,0.555,0.0,0.094,0.282,125.025,1PZZtXR7nsNIyRcqd7UeiF,Aarambh,Piyush Mishra,1_22
1,hindi_chill_lyrics,0.693,0.778,1.0,-8.087,0.0,0.248,0.555,0.0,0.094,0.282,125.025,1PZZtXR7nsNIyRcqd7UeiF,Aarambh,Piyush Mishra,1_22,0.773,0.79,2.0,-7.408,1.0,0.0846,0.176,0.0,0.0853,0.656,100.005,5RH4M64x1jvPMWHN5S2LAz,Ganpat,Mika Singh;Anchal,1_23
