track_id,track_name,audio_path,audio_relative_path
1bdhuAqjCW5JUcPQT5QiRS,Hollow Labyrinth of Light,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\63. Hollow Labyrinth of Light.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\63. Hollow Labyrinth of Light.mp3
2sn8vaJJaeNJHlx9ZvPYjW,Cloud Gradient,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\61. Cloud Gradient.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\61. Cloud Gradient.mp3
0j6xHdWh1gULXMvubQxhu3,Tidemarks,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\64. Tidemarks.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\64. Tidemarks.mp3
7oY3SSX242tiAIp064SYQJ,Syrah,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\66. Syrah.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\66. Syrah.mp3
0pjxnvvtDYM9YPc5LnYwDL,Shattered,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\67. Shattered.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\67. Shattered.mp3
5KozKBGrvgLyxEDRb8VBHj,Long Distance,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\68. Long Distance.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\68. Long Distance.mp3
79Ku4Dwjn2UNHHoU9azKmS,Life as,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\65. Life as.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\65. Life as.mp3
7IP014afPrQmohDNI8fLTE,Zenline,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\69. Zenline.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\69. Zenline.mp3
0tYU71tIRF49B4i0qxU5v7,Daylight,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\70. Daylight.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\70. Daylight.mp3
7gnrkGpHEeZCF4nFuXT3Y8,Celeste,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\71. Celeste.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\71. Celeste.mp3
0tCdzYvMne3CixunpEmPNT,foresight,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\72. foresight.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\72. foresight.mp3
28KDvEZetUbNEULIQREIgt,Cirrus,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\73. Cirrus.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\73. Cirrus.mp3
6Cxbnsbj9SdlQN6nropxVU,Sunrise,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\74. Sunrise.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\74. Sunrise.mp3
2fux83cwNIZJCKbS3MlFX9,Atmosphere,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\75. Atmosphere.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\75. Atmosphere.mp3
75pMP3L6TWt6SGUI5emumo,Quiet Axis,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\76. Quiet Axis.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\76. Quiet Axis.mp3
5juvEWHNyQR3oGwNTdtxVp,hollow river,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\77. hollow river.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\77. hollow river.mp3
4B6Nriqk08YIv2qQl5f9Cn,Silk Tone,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\78. Silk Tone.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\78. Silk Tone.mp3
3i1iDKolaDyxKw5Y9NKlUR,Gravity,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\79. Gravity.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\79. Gravity.mp3
4zbjAvkI6oKXRDG7tsZAQa,The Long Road,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\80. The Long Road.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\80. The Long Road.mp3
5eRbsYumIcUOohDOYQHVlu,Hopeful Future,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\83. Hopeful Future.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\83. Hopeful Future.mp3
1ud6SDvC5yfDgeoHEtc5ev,Otherworld,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\84. Otherworld.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\84. Otherworld.mp3
2gSg4P9f2UW8MQNyUHJuUh,Andromeda,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\86. Andromeda.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\86. Andromeda.mp3
2M3rMBjHYr5ilKn9znyfMd,Startrail,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\87. Startrail.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\87. Startrail.mp3
5EeQp151LyR5r9ZORe5oEy,Driftwood,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\88. Driftwood.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\88. Driftwood.mp3
4eeuYnDJ5XlzgVYs2FGhbl,Endless Radiance,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\89. Endless Radiance.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\89. Endless Radiance.mp3
0TJqC7lwtlua6pLN9FgF0L,Liquid Light,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\90. Liquid Light.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\90. Liquid Light.mp3
2PO5LrGt9ASfsPluDQ58PT,Connect the Dots,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\91. Connect the Dots.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\91. Connect the Dots.mp3
7iY4QyIzgk0C1UWGQeAGWG,Fool Me Twice,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\92. Fool Me Twice.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\92. Fool Me Twice.mp3
4hLmBBk9FwwNZRbBmWGSrV,Still Familiar,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\93. Still Familiar.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\93. Still Familiar.mp3
5xBCuOtpJML24VN7FQJ5Kk,When We Fall,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\94. When We Fall.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\94. When We Fall.mp3
0R3nhKQ5OpdALI3HNp6AQ4,Release,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\95. Release.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\95. Release.mp3
3r1sSvC4miDrE3AvDGGsXA,Nebula,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\96. Nebula.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\96. Nebula.mp3
