track_id,track_name,audio_path,audio_relative_path,matrix_path,matrix_relative_path,num_windows,num_features,status
6mx6kZqFsUaT3rYdxQ4Ajw,Hanuman Chalisa (Asante Sana Remix),C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\72. Hanuman Chalisa (Asante Sana Remix).mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\72. Hanuman Chalisa (Asante Sana Remix).mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00070.npy,data\processed\phase2_feature_matrices\audio_00070.npy,430,30,created
6qJrmD6CXKWkWcsYwu9AV3,Aathma Raama,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\73. Aathma Raama.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\73. Aathma Raama.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00071.npy,data\processed\phase2_feature_matrices\audio_00071.npy,232,30,created
2OQxoAAxiRDik7e4T0equt,Hanuman Chalisa Superfast,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\74. Hanuman Chalisa Superfast.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\74. Hanuman Chalisa Superfast.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00072.npy,data\processed\phase2_feature_matrices\audio_00072.npy,258,30,created
2vIBf8EmRy7m4Q9kR2dikH,"Tum Se Hi (From ""Love In Lo-Fi Volume 1"")",C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\1. Tum Se Hi (From _Love In Lo-Fi Volume 1_).mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\1. Tum Se Hi (From _Love In Lo-Fi Volume 1_).mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00073.npy,data\processed\phase2_feature_matrices\audio_00073.npy,278,30,created
1pnC5d46tqFwjqGtbjJPn7,Subhanallah Lofi Mix,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\2. Subhanallah Lofi Mix.mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\2. Subhanallah Lofi Mix.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00074.npy,data\processed\phase2_feature_matrices\audio_00074.npy,195,30,created
5EIFtcs5653Xjgs1gAAB7a,Pee Loon Lofi Mix,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\3. Pee Loon Lofi Mix.mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\3. Pee Loon Lofi Mix.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00075.npy,data\processed\phase2_feature_matrices\audio_00075.npy,285,30,created
6udC4b4jOSnHb9ItnXgKLR,Saibo,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\4. Saibo.mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\4. Saibo.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00076.npy,data\processed\phase2_feature_matrices\audio_00076.npy,278,30,created
5f4CDQSxZJ8GuYdwMdz37V,Mere Bina - Lofi Flip,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\5. Mere Bina - Lofi Flip.mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\5. Mere Bina - Lofi Flip.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00077.npy,data\processed\phase2_feature_matrices\audio_00077.npy,167,30,created
5Hl7XgfwAbZhynTEBNKro7,In Dino - Lofi Flip,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\6. In Dino - Lofi Flip.mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\6. In Dino - Lofi Flip.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00078.npy,data\processed\phase2_feature_matrices\audio_00078.npy,274,30,created
2abR4ilhs5JWqZq12SB3GB,"Ek Din Title Track - From ""Ek Din""",C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\7. Ek Din Title Track - From _Ek Din_.mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\7. Ek Din Title Track - From _Ek Din_.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00079.npy,data\processed\phase2_feature_matrices\audio_00079.npy,279,30,created
2hPMMkjM0eSDgsNFfIVSwf,"Kya Meri Yaad Aati Hai (From ""Sky Force"")",C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\8. Kya Meri Yaad Aati Hai (From _Sky Force_).mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\8. Kya Meri Yaad Aati Hai (From _Sky Force_).mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00080.npy,data\processed\phase2_feature_matrices\audio_00080.npy,225,30,created
1VlaAFoLyWmNH0YrOWx7Eg,Janam Janam - Lofi Flip,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\9. Janam Janam - Lofi Flip.mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\9. Janam Janam - Lofi Flip.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00081.npy,data\processed\phase2_feature_matrices\audio_00081.npy,153,30,created
6VBhH7CyP56BXjp8VsDFPZ,"Kesariya (From ""Brahmastra"")",C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\10. Kesariya (From _Brahmastra_).mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\10. Kesariya (From _Brahmastra_).mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00082.npy,data\processed\phase2_feature_matrices\audio_00082.npy,173,30,created
0a17mIL7XTvYqe9mxuPd3y,"Agar Ho Tum (From ""Mr. And Mrs. Mahi"")",C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\11. Agar Ho Tum (From _Mr. And Mrs. Mahi_).mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\11. Agar Ho Tum (From _Mr. And Mrs. Mahi_).mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00083.npy,data\processed\phase2_feature_matrices\audio_00083.npy,207,30,created
72zHuDxFQTjbL51qJQSA7j,"Ranjha (From ""Shershaah"")",C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\13. Ranjha (From _Shershaah_).mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\13. Ranjha (From _Shershaah_).mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00084.npy,data\processed\phase2_feature_matrices\audio_00084.npy,194,30,created
3GrCQPpKqKzOcKfMAoqn82,"Bolna (From ""Kapoor & Sons (Since 1921)"")",C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\14. Bolna (From _Kapoor & Sons (Since 1921)_).mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\14. Bolna (From _Kapoor & Sons (Since 1921)_).mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00085.npy,data\processed\phase2_feature_matrices\audio_00085.npy,234,30,created
36y4YG4mYvZQcOzANthZCJ,"Maaye (From ""Sky Force"")",C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\15. Maaye (From _Sky Force_).mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\15. Maaye (From _Sky Force_).mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00086.npy,data\processed\phase2_feature_matrices\audio_00086.npy,266,30,created
1kTEGyqUJFgstwdgJFLqz1,"Dil Se Dil Tak (From ""Bawaal"")",C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\16. Dil Se Dil Tak (From _Bawaal_).mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\16. Dil Se Dil Tak (From _Bawaal_).mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00087.npy,data\processed\phase2_feature_matrices\audio_00087.npy,285,30,created
