diff_danceability,diff_energy,diff_loudness,diff_speechiness,diff_acousticness,diff_instrumentalness,diff_liveness,diff_valence,diff_tempo,diff_mode,diff_key_fifths,label
0.247,0.363,4.156999999999999,0.0548,0.515,0.328784,0.031799999999999995,0.443,3.0520000000000067,0.0,1.0,1
0.08599999999999997,0.07000000000000006,2.117,0.072,0.17930000000000001,0.04474,0.43820000000000003,0.02300000000000002,2.008999999999986,1.0,0.8333333333333334,1
0.006000000000000005,0.5820000000000001,4.639,0.012700000000000003,0.5882,4.8e-05,0.029000000000000012,0.466,27.845,1.0,0.5,0
0.17899999999999994,0.5289999999999999,6.374,0.0149,0.28586,0.719,0.07599999999999998,0.5409999999999999,2.9070000000000107,1.0,0.3333333333333333,1
0.04199999999999998,0.0451,0.7010000000000005,0.0005999999999999964,0.04400000000000004,0.10400000000000009,0.0050000000000000044,0.00010000000000000286,63.43899999999999,0.0,0.16666666666666666,1
0.065,0.254,1.3780000000000001,0.0955,0.438,0.00013636,0.153,0.31800000000000006,14.935000000000002,1.0,0.16666666666666666,0
0.42399999999999993,0.4248,23.623,0.012199999999999996,0.17099999999999993,0.8079000000000001,0.018699999999999994,0.4428,49.52199999999999,0.0,0.8333333333333334,0
0.0050000000000000044,0.0040000000000000036,2.8629999999999995,0.0005000000000000004,0.01200000000000001,0.000183,0.0257,0.59,17.003,0.0,0.3333333333333333,1
0.294,0.029429999999999998,11.841999999999999,0.025599999999999998,0.018999999999999906,0.07999999999999996,0.007000000000000006,0.09960000000000001,69.552,1.0,0.5,0
0.020000000000000018,0.1047,5.395,0.005600000000000001,0.017000000000000015,0.038999999999999924,0.0040000000000000036,0.1234,69.109,1.0,0.6666666666666666,1
0.07300000000000001,0.0361,5.167999999999999,0.0063,0.007000000000000006,0.134,0.0058,0.08249999999999999,8.577999999999989,1.0,0.8333333333333334,1
0.221,0.006000000000000002,11.933,0.004299999999999998,0.0020000000000000018,0.007000000000000006,0.021000000000000005,0.08699999999999997,65.165,1.0,0.3333333333333333,1
0.08700000000000002,0.009999999999999995,6.079000000000001,0.0039000000000000007,0.0020000000000000018,0.09299999999999997,0.011099999999999999,0.0971,44.016000000000005,1.0,0.16666666666666666,0
0.14999999999999997,0.8040550000000001,32.431000000000004,0.015799999999999995,0.32299999999999995,0.968,0.09800000000000002,0.02400000000000002,8.629999999999995,0.0,0.8333333333333334,0
0.007000000000000006,0.03699999999999998,6.5009999999999994,0.033699999999999994,0.383,0.008830000000000001,0.13399999999999998,0.2686,39.21300000000001,1.0,0.16666666666666666,0
0.45199999999999996,0.278,1.2320000000000002,0.14029999999999998,0.8071999999999999,0.8439985799999999,0.04690000000000001,0.09299999999999997,43.528999999999996,0.0,0.6666666666666666,0
0.128,0.23799999999999993,5.195,0.0637,0.5994,0.06960000000000001,0.235,0.11349999999999999,86.981,1.0,0.0,0
0.23299999999999998,0.638,8.104,0.1391,0.8048000000000001,0.000154,0.0751,0.38199999999999995,33.119,1.0,0.16666666666666666,0
0.16399999999999998,0.2658,23.767,0.029199999999999997,0.04600000000000004,0.9147000000000001,0.0266,0.08600000000000002,10.369,1.0,0.5,0
0.18399999999999994,0.22000000000000008,0.6429999999999998,0.013400000000000002,0.124,0.13899731,0.051500000000000004,0.422,31.26100000000001,1.0,0.16666666666666666,1
0.21099999999999997,0.119,0.017999999999998906,0.010600000000000005,0.22399999999999998,0.00242,0.37249999999999994,0.45,37.902,0.0,1.0,0
0.22700000000000004,0.21599999999999997,2.6660000000000004,0.001400000000000002,0.031599999999999996,0.7927,0.26,0.2,31.033,0.0,0.8333333333333334,1
