Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:32faUN4IsCs1wk1ljIQr9C,"Naalo Oohalaku","Chandamama","Asha Bhosle;K M Radhakrishnan",2007-09-06,273776,1,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:47:44Z,"ghazal,marathi pop,bangla pop,bollywood,hindi pop,telugu pop,tollywood","Aditya Music",0.616,0.782,2,-5.593,1,0.108,0.521,0.00000222,0.36,0.703,105.968,4
spotify:track:13Z8HS0M1QPZt4BRVjO3EY,"Inthaku Nuvvevaru","Snehituda","Shreya Ghoshal",2009-06-23,282785,0,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T18:00:57Z,"bollywood,hindi pop,desi,kannada pop,marathi pop,bangla pop","Aditya Music",0.629,0.493,7,-6.777,0,0.0548,0.28,0.00000197,0.29,0.51,173.794,4
spotify:track:3LYt0b1ljHUYoG5YL2WwWP,"Ye Chilipi","Gharshana-New","Srinivas",2004-06-19,315001,18,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-06-18T18:35:01Z,"tamil pop,tollywood,kollywood,kannada pop,malayalam pop","Aditya Music",0.638,0.655,9,-7.338,0,0.0291,0.0181,0,0.422,0.497,109.973,4
spotify:track:0ztkZvCiue0XaK32VrNQSZ,"Cheppamma","Murari","Chitra",2001-02-17,287833,0,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-06-18T18:35:07Z,"bedroom pop,alternative r&b","Aditya Music",0.665,0.86,7,-7.516,1,0.194,0.213,0.00378,0.126,0.368,127.924,4
spotify:track:6fIwlHquUDhe7W0TMn3Ilf,"Naa Manasuki","Aadavari Matalaku Ardhalu Veruley","Karthik;Gayatri",2007-03-27,339461,1,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-06-18T18:35:29Z,"telugu pop,tamil pop,tollywood,kollywood,kannada pop,malayalam pop,mollywood,tamil dance","Aditya Music",0.675,0.839,6,-5.942,1,0.033,0.0898,0.0296,0.221,0.954,119.985,4
spotify:track:2GQmxusZHsQAYvLWPhhgHi,"Niddura Potunna","Nuvve Nuvve","Shankar Mahadevan",2002-09-10,272091,2,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-06-18T18:35:32Z,"marathi pop,bollywood,devotional,bhajan,desi,tamil dance","Aditya Music",0.487,0.775,7,-7.764,0,0.209,0.166,0,0.125,0.856,165.168,3
spotify:track:69PuGOoNWxd2hM0tsrCa2O,"Ghal Ghal","Nuvvostanante Nenoddantana","S. P. Balasubrahmanyam",2005-01-14,319563,4,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-06-18T18:35:38Z,"kannada pop,telugu pop,tamil pop,devotional,sandalwood,tollywood","Aditya Music",0.847,0.715,2,-7.592,1,0.119,0.142,0.00000315,0.372,0.495,101.986,4
spotify:track:0iKtQHMwA3k3NeKFWo17eN,"Bangala Kathamulo","Badri","Ramana Gogula;Sunitha",2000-04-20,277211,5,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-06-18T18:35:40Z,"telugu pop,tollywood,devotional","Aditya Music",0.854,0.826,7,-8.421,1,0.0863,0.394,0.658,0.134,0.453,114.745,4
spotify:track:2RB0HGpFZ3ScPEqC7uCqr3,"Hoyna","Aata","Karthik;K. S. Chithra",2007-04-26,306977,4,false,31ox3ffg5m3mooxsanjs3gjvplxa,2023-02-13T19:24:10Z,"telugu pop,tamil pop,tollywood,kollywood,kannada pop,malayalam pop,mollywood,tamil dance,devotional,sandalwood","Aditya Music",0.869,0.468,7,-10.478,0,0.0646,0.323,0.00102,0.203,0.926,127.966,4
spotify:track:35EifGHoMZxyYVGkNRmyjJ,"Andagaada","Gharshana-New","Harini",2004-06-19,320991,7,false,31ox3ffg5m3mooxsanjs3gjvplxa,2023-02-13T19:24:17Z,"tamil pop,kollywood,telugu pop,tollywood","Aditya Music",0.418,0.773,11,-7.858,1,0.152,0.0583,0,0.269,0.52,169.918,4
