Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4Pf3mmQerhVI3mxmUkUKmf,"Where Time Thins","Where Time Thins","Katsiaryna Labanava",2026-03-27,176239,23,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-28T13:11:55Z,"","MusicHub",0.706,0.729,7,-9.638,1,0.0398,0.0228,0.89,0.127,0.319,113.989,4
spotify:track:4WFCB5SrGTPa8ToUyFKlXI,"Don't Forget My Love","Don't Forget My Love","Junerule;Markodem;David Allen",2026-03-27,197419,25,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-28T13:09:23Z,"tropical house,progressive house,big room","MILF Records",0.694,0.891,11,-5.984,0,0.0545,0.00284,0.000148,0.0847,0.38,124.045,4
spotify:track:0WXePSiIIoG7ezz1NX9E7K,"Azzurro (we stand in it)","Azzurro (we stand in it)","Guetta Thunberg",2025-04-15,242981,15,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-28T12:36:07Z,"lo-fi house,gabber","Freebonacci Records",0.772,0.586,9,-9.716,0,0.0765,0.00749,0.246,0.0494,0.537,122.013,4
spotify:track:30iSMBjdYg5DGfCGwovoWj,"Mpenzi Lago Ni Chuda - Radio Edit","Mpenzi Lago Ni Chuda","Kevin Kinembe",2026-03-27,209000,12,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-28T12:29:48Z,"organic house,afro house","DIMALIO RECORDS",0.617,0.83,10,-8.836,1,0.0383,0.0614,0.423,0.12,0.318,120.02,4
spotify:track:6UO7RkOI3EZiviljGNiU3O,"Eyes","Eyes","Luey",2026-03-13,195305,26,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-28T12:24:45Z,"melodic house,tropical house","OVERDREAMER // Luey",0.654,0.805,5,-8.134,0,0.0437,0.393,0.78,0.128,0.407,128.979,4
spotify:track:6wddjUV58pUKWtR8JmmtZe,"Un crush pour la nuit","Les Nuits Solaires","Stopnicki",2026-03-27,136033,17,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-28T12:22:59Z,"french indie pop,french pop","Groover Obsessions",0.792,0.781,11,-5.456,0,0.0409,0.0807,0.000359,0.28,0.965,116.978,4
spotify:track:68xhZFDatrsgFByOoYY7GO,"Who I Am","Who I Am","Alber-K;SEM",2026-03-27,169891,41,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-27T10:55:49Z,"","AK Productions",0.731,0.697,5,-9.749,0,0.0382,0.0304,0.0000979,0.0788,0.51,124.085,4
spotify:track:5RRttGTMMOHBhfNWN5SL3C,"WASTING MY YOUNG YEARS","WASTING MY YOUNG YEARS","WILLIAM XO",2026-01-13,205603,23,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-27T10:51:29Z,"afro house","AMOUR XO",0.688,0.86,10,-10.031,0,0.0369,0.16,0.705,0.112,0.081,122.019,4
spotify:track:3mfUiB89mMNA42Xhsmz9Nl,"Maisha - Original Mix","Maisha (Original Mix)","REYDIM",2026-03-13,311612,16,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-27T10:46:06Z,"afro house,tropical house,organic house","DIMALIO RECORDS",0.803,0.858,5,-8.025,1,0.0438,0.00133,0.756,0.0478,0.325,123.993,4
spotify:track:7o3ExI8VjcaFY3Kq30runZ,"I Need To Know","I Need To Know","Sax'Appeal;The Palm Tree Boy;Sydney Ferrier",2026-03-20,151398,41,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-27T10:45:38Z,"","Diepgraven Records",0.609,0.635,10,-10.358,0,0.0424,0.02,0.0733,0.234,0.236,117.999,4
spotify:track:3777jUJWxFCG52LNgz8esX,"Kwenzekani","I'm Home","Limocarda",2026-03-20,258815,17,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-27T10:41:29Z,"bacardi","VS Records DK",0.694,0.337,0,-14.92,1,0.0436,0.0000147,0.191,0.0601,0.883,119.999,4
spotify:track:2jGgMQVMd5k1r3T7zr6J2F,"La2","La2","Mishaal Tamer",2025-12-12,157000,65,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-27T10:39:00Z,"","Arabian Knights Records / EMPIRE",0.793,0.647,6,-7.333,0,0.0589,0.0486,0.0228,0.288,0.793,118.016,4
spotify:track:7vtNSGVEsJyGL7CAMh9UtQ,"The Dark Side","The Dark Side","Un-Till",2026-01-16,269508,27,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-27T10:37:17Z,"melodic techno","Tildico Label",0.684,0.879,2,-7.48,1,0.0413,0.0489,0.72,0.166,0.158,122.013,4
spotify:track:3lPWvrd0BXEgRssSgBdZBq,"Work (Puttin In Work)","Work (Puttin In Work)","Mosheh Koke",2025-01-24,217175,7,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-27T10:10:22Z,"","XM Music Group",0.809,0.619,6,-7.787,1,0.342,0.407,0.63,0.118,0.469,132.958,4
spotify:track:3dXahPy4bDpjxxuPj2fjo2,"Forever","Hybride","TOOTIMES",2025-11-28,174025,13,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-03T10:24:59Z,"tropical house","M2P RECORD / BOUQUET GARNI",0.787,0.525,4,-6.323,1,0.0605,0.00246,0.101,0.168,0.318,94.971,4
spotify:track:0XfQXAa6DduEVwtDRxjoAI,"Sugar Brown","A Way Home Vol. #2","Ithanjah",2025-11-30,338835,9,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-27T10:37:50Z,"","Silverfox Entertainment",0.788,0.305,9,-20.751,0,0.0427,0.825,0.849,0.111,0.635,101.998,4
spotify:track:02C0yollwXp5jKzVO4rGba,"New Artificial Touch","Necessary Love","Dinkis",2026-03-27,160000,8,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-27T01:30:54Z,"neoclassical","Wout Records",0.389,0.675,7,-10.567,0,0.0407,0.351,0.629,0.11,0.365,87.538,4
spotify:track:6jBG8cj8yPuakv30PUfT5Q,"mitetemo chanya","mitetemo chanya","Andrew Famous",2026-03-22,283870,21,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-23T17:35:17Z,"melodic house,melodic techno","5450635 Records DK",0.689,0.912,1,-7.151,1,0.0359,0.503,0.729,0.0709,0.132,119.995,4
spotify:track:57JD6svCJhXMr9sUaV3wAz,"Better On Me","Hybride","TOOTIMES",2025-11-28,253954,14,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-03T10:25:03Z,"tropical house","M2P RECORD / BOUQUET GARNI",0.83,0.585,0,-6.513,1,0.263,0.0212,0.302,0.125,0.623,128.993,4
spotify:track:5znMlMZ7L1cLkgwrkImJSN,"Crocodile Tears","Crocodile Tears","Cry Me a Swamp",2026-03-18,248166,11,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-23T17:31:44Z,"","10473125 Records DK2",0.857,0.853,11,-6.456,1,0.0437,0.00201,0.859,0.189,0.516,112.001,4
spotify:track:3kAghop6z2WsDCD148JR0c,"J'aime le disco","Club Orchestra","Debbie Tebbs;BLV",2026-02-06,212903,16,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-23T17:30:37Z,"pop québécoise,french pop","Quartier Général",0.768,0.749,7,-8.5,0,0.0386,0.00314,0.309,0.0724,0.576,124.039,4
spotify:track:02vVuaJTgDwJ5xqdyPtKxn,"Idol Creation","Idol Creation","Tiam Wills",2026-03-21,220298,19,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-23T17:30:05Z,"","Groover Spark",0.854,0.386,6,-10.146,0,0.0609,0.0147,0.146,0.0499,0.959,121.996,4
spotify:track:7KxvPLBazl99OInddcD7kV,"Champagne","Champagne","Paul Varjak",2026-04-01,314754,10,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-04-01T16:40:34Z,"","Hide Behind records",0.895,0.672,2,-8.518,0,0.0878,0.0895,0.781,0.0265,0.47,121.967,4
spotify:track:1cg5SunOZJdzipebOPAThz,"Ká máa jó","Ká máa jó","SESEMITAN;Koya;Ona Erik",2026-03-26,295802,1,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-04-08T08:27:19Z,"","SESEMITAN",0.598,0.859,10,-6.866,0,0.0393,0.00227,0.0053,0.119,0.118,120.009,4
