Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3zKAa3AAmK8yJ4Vpcrn5xv,"our memories","our memories","Catalyz",2025-10-24,100660,42,false,cb8pyebbxihiv6jtq58t1du3b,2025-10-30T13:50:39Z,"dark ambient,ambient","iSpyTunes",0.335,0.155,6,-27.417,1,0.0354,0.926,0.854,0.0801,0.0912,170.045,4
spotify:track:3OS2HWmvG7C5b9qRpElstO,"last letter","last letter","EVILTIME;Domnxn",2025-11-07,105000,42,false,cb8pyebbxihiv6jtq58t1du3b,2025-11-07T05:07:53Z,"dark ambient","iSpyTunes",0.289,0.119,6,-26.948,0,0.0324,0.93,0.853,0.0763,0.0387,76.92,4
spotify:track:2F22oxWNXMBC37AdesBhYw,"slow dreams","drifting apart","Envacity;Lupe.mp3;ist",2025-04-18,149433,42,false,cb8pyebbxihiv6jtq58t1du3b,2025-04-18T04:29:55Z,"dark ambient,brazilian phonk","iSpyTunes",0.405,0.0159,11,-29.731,0,0.0355,0.993,0.761,0.0792,0.119,141.243,4
spotify:track:67fGtIMqRkIXyQb5YiyjS9,"waiting room","waiting room","too unbothered.;ist",2025-08-29,120000,42,false,cb8pyebbxihiv6jtq58t1du3b,2025-08-29T04:08:24Z,"dark ambient","iSpyTunes",0.227,0.168,1,-22.918,1,0.0344,0.971,0.688,0.128,0.212,71.258,4
spotify:track:2yu5bsJl6R8ClbPzq2Zqzu,"vanish","vanish","too unbothered.",2024-11-01,128000,43,false,cb8pyebbxihiv6jtq58t1du3b,2024-11-01T04:05:55Z,"dark ambient","iSpyTunes",0.104,0.0573,7,-26.147,0,0.0403,0.866,0.679,0.106,0.0769,179.416,4
spotify:track:7GN9IZJ4sKn2yO3QbR5h52,"aura","aura","ist;SanelliX;SpoonBeats",2025-04-25,125923,42,false,cb8pyebbxihiv6jtq58t1du3b,2025-04-25T04:07:03Z,"lo-fi beats,jazz beats,lo-fi,dark ambient,ambient","iSpyTunes",0.503,0.13,0,-20.813,0,0.0348,0.926,0.854,0.16,0.581,176.007,4
spotify:track:6oS6SQfkOmgfm9wYxpd9vQ,"night vision","night vision","distant diary",2026-02-27,76132,41,false,cb8pyebbxihiv6jtq58t1du3b,2026-02-27T05:50:20Z,"","iSpyTunes",0.128,0.157,8,-19.973,0,0.0327,0.815,0.757,0.0931,0.0506,80.773,4
spotify:track:4ShFfbjrJheUA2EZynLpME,"driving thru your city","riding thru your city","seeparticles",2025-11-14,116783,42,false,cb8pyebbxihiv6jtq58t1du3b,2025-11-14T05:06:17Z,"dark ambient","iSpyTunes",0.152,0.142,1,-25.927,0,0.038,0.859,0.85,0.0902,0.147,71.293,3
spotify:track:07l4YNcG8Bos87v06wOrc3,"eternal memory","eternal memory","Domnxn",2026-02-06,144000,42,false,cb8pyebbxihiv6jtq58t1du3b,2026-02-06T05:12:10Z,"dark ambient","iSpyTunes",0.392,0.0799,4,-26.196,0,0.0484,0.951,0.885,0.102,0.305,150.075,4
spotify:track:0zuhTMtimOSO4E9t2xcq24,"lonely road","lonely road","ist;dscpl.",2026-01-16,91586,44,false,cb8pyebbxihiv6jtq58t1du3b,2026-01-16T05:14:18Z,"dark ambient","iSpyTunes",0.532,0.12,7,-24.063,1,0.0346,0.983,0.788,0.0836,0.111,129.947,4
spotify:track:4XNfveIPFuCFW2Yk89rSRl,"someday","someday","rainlove",2026-01-09,103855,42,false,cb8pyebbxihiv6jtq58t1du3b,2026-01-09T05:42:13Z,"dark ambient,ambient","iSpyTunes",0.151,0.0309,8,-34.037,1,0.031,0.947,0.904,0.0911,0.0428,73.039,1
spotify:track:48vm65bwvLgKeP6EO7UCzF,"silent days","silent days","Envacity;Lupe.mp3;ist",2025-08-15,103157,42,false,cb8pyebbxihiv6jtq58t1du3b,2025-08-15T04:08:32Z,"dark ambient,brazilian phonk","iSpyTunes",0.169,0.0991,7,-29.354,0,0.0378,0.918,0.862,0.089,0.042,125.903,3
spotify:track:3sdXSJOTwLiOhpdkHW6hFH,"turning the page","turning the page","too unbothered.",2025-09-26,140307,42,false,cb8pyebbxihiv6jtq58t1du3b,2025-09-26T15:39:03Z,"dark ambient","iSpyTunes",0.169,0.0951,4,-26.896,1,0.0372,0.926,0.732,0.0975,0.0865,126.84,4
spotify:track:5cD0TzMbSCzoO7kcJMqfrj,"cassette","cassette","ist;ID10",2026-01-30,116875,42,false,cb8pyebbxihiv6jtq58t1du3b,2026-01-30T05:36:21Z,"dark ambient,ambient","iSpyTunes",0.105,0.0788,2,-30.464,1,0.0448,0.797,0.756,0.081,0.0428,74.489,4
spotify:track:1V9NkiE9Dw9gEgOU57yzon,"slipping behind","slipping behind","too unbothered.",2025-01-24,123428,45,false,cb8pyebbxihiv6jtq58t1du3b,2025-01-24T08:24:04Z,"dark ambient","iSpyTunes",0.428,0.0941,7,-26.123,0,0.0387,0.928,0.901,0.111,0.0668,140.013,4
spotify:track:09rtbkkDB4nwPGYSzH9Xml,"why can't i forget you","why can't i forget you","too unbothered.",2024-11-22,87804,43,false,cb8pyebbxihiv6jtq58t1du3b,2024-11-22T06:07:31Z,"dark ambient","iSpyTunes",0.37,0.0377,3,-29.085,1,0.0304,0.925,0.863,0.104,0.144,82.023,4
spotify:track:21TcDbGosp7w9YhTjOszgA,"Imagination","Handwritten (Deluxe)","Shawn Mendes",2015-04-14,217773,74,false,cb8pyebbxihiv6jtq58t1du3b,2022-04-18T19:37:18Z,"","Island Records",0.64,0.455,0,-5.942,1,0.0247,0.0743,0,0.0694,0.333,89.948,4
spotify:track:0oaXm268b7I6kfmCr5FwpF,"Dawn","Crafting Reality","too unbothered.",2024-12-20,136216,51,false,cb8pyebbxihiv6jtq58t1du3b,2024-12-20T05:05:31Z,"dark ambient","iSpyTunes",0.37,0.0215,0,-25.058,1,0.0395,0.894,0.914,0.105,0.0418,74.175,4
spotify:track:2l8VWo68xQvEZg37IuTC4n,"alone time","alone time","ist;Hikari",2024-05-24,115878,47,false,cb8pyebbxihiv6jtq58t1du3b,2024-05-24T04:11:14Z,"dark ambient","iSpyTunes",0.32,0.313,0,-14.114,1,0.0569,0.972,0.912,0.118,0.221,125.86,3
spotify:track:2nltARCkZyrzjQANViDpuX,"Jacob and the Stone","Minari (Original Motion Picture Soundtrack)","Emile Mosseri",2021-02-12,98560,76,false,cb8pyebbxihiv6jtq58t1du3b,2024-06-21T20:41:56Z,"","Masterworks",0.193,0.171,1,-18.494,1,0.0368,0.915,0.942,0.119,0.105,84.067,4
spotify:track:4PksfpzYk5m1S8iJ49oLGM,"glitched emotions","glitched emotions","Swik",2025-05-16,132330,41,false,cb8pyebbxihiv6jtq58t1du3b,2025-05-18T22:33:01Z,"dark ambient","iSpyTunes",0.226,0.0803,3,-28.437,0,0.0365,0.595,0.913,0.0888,0.0355,85.235,4
spotify:track:5e4sYfKVJHyPZuP5Xa0W1T,"love","Silence","Swik",2025-04-18,140887,42,false,cb8pyebbxihiv6jtq58t1du3b,2025-04-18T04:38:03Z,"dark ambient","iSpyTunes",0.293,0.0491,10,-30.607,0,0.0346,0.96,0.916,0.0869,0.0395,88.152,4
spotify:track:5HoLSYKyW1FNA89lZc4e54,"trust falling","shutter island","ist;Raouf",2024-06-21,97078,42,false,cb8pyebbxihiv6jtq58t1du3b,2024-06-21T04:15:16Z,"dark ambient,ambient","iSpyTunes",0.318,0.249,0,-19.304,1,0.0269,0.931,0.903,0.107,0.0393,178.133,4
spotify:track:1akM0ESRCuX53lfucDqBJO,"old habits","lost signals","Aunøra;Ghøst;ist",2025-08-01,66666,41,false,cb8pyebbxihiv6jtq58t1du3b,2025-08-01T04:31:41Z,"dark ambient","iSpyTunes",0.303,0.0626,5,-25.611,1,0.0374,0.918,0.939,0.0719,0.0584,67.586,3
spotify:track:1yVxOkgIp2qrTVzZQqoEoK,"Gridlight","Blur Station","The Zion Curtain",2025-10-03,150986,41,false,cb8pyebbxihiv6jtq58t1du3b,2025-12-20T21:36:57Z,"","Darth and Ginja Studios",0.273,0.3,5,-15.949,1,0.0328,0.731,0.939,0.0746,0.0837,127.575,4
spotify:track:6j2Ef9GGZoWcz4zmljUJWY,"not forsaken","not forsaken","ist;dscpl.",2024-11-01,145795,42,false,cb8pyebbxihiv6jtq58t1du3b,2024-11-01T04:05:50Z,"dark ambient","iSpyTunes",0.553,0.0807,7,-24.772,0,0.0335,0.887,0.895,0.18,0.0524,110.103,4
spotify:track:6R7ybPeMoS4zlwsUB00vxs,"ominous","ominous","insensible",2023-11-17,91394,59,false,cb8pyebbxihiv6jtq58t1du3b,2025-09-19T15:29:55Z,"dark ambient,ambient","insensible",0.16,0.194,7,-30.387,0,0.0432,0.905,0.696,0.231,0.0537,219.262,4
spotify:track:05oBQ8TSV2pu45JLEPORM4,"sunflowers","sunflowers","Loucent",2025-05-16,98620,42,false,cb8pyebbxihiv6jtq58t1du3b,2025-05-16T19:13:20Z,"dark ambient","Ispytunes",0.294,0.0446,9,-33.466,0,0.0332,0.916,0.956,0.0688,0.112,173.924,4
spotify:track:6BD6NXnHcjuLTz1NBrBlUE,"a place i once knew","a place i once knew","Øneironaut;Alessandro Penna;Davide Nigro",2025-12-16,95000,42,false,cb8pyebbxihiv6jtq58t1du3b,2026-01-20T22:38:38Z,"celtic,medieval,space music","2025 Øneironaut, Alessandro Penna & Davide Nigro",0.195,0.194,7,-23.878,0,0.0476,0.501,0.859,0.0958,0.0394,139.19,4
spotify:track:4kODxz72uHtSk7Qgjsxi9b,"winner","winner","ist;Unknown Melodiez;Righteousness",2024-10-04,100581,41,false,cb8pyebbxihiv6jtq58t1du3b,2024-10-04T04:10:22Z,"dark ambient,ambient","iSpyTunes",0.0972,0.0638,1,-28.745,1,0.0376,0.918,0.919,0.0956,0.0395,74.202,3
spotify:track:7pYN4GAK8rYgcfbt4OXo6y,"infinite hope","infinite hope","ist;oversyncing;Swik",2025-01-24,101382,42,false,cb8pyebbxihiv6jtq58t1du3b,2025-01-24T08:23:50Z,"dark ambient,ambient","iSpyTunes",0.209,0.191,8,-26.031,0,0.0371,0.895,0.98,0.125,0.0991,119.061,4
spotify:track:4qNh5fk7UOKGbn532H3peH,"so far away","so far away","too unbothered.;Stradijulian",2024-10-18,134634,43,false,cb8pyebbxihiv6jtq58t1du3b,2024-10-18T04:02:28Z,"dark ambient","iSpyTunes",0.369,0.0448,2,-31.771,1,0.0324,0.96,0.79,0.0872,0.0802,79.914,4
spotify:track:4VuS959DSpr82t3qBqCrWG,"Supermarket Flowers","÷ (Deluxe)","Ed Sheeran",2017-03-03,221106,75,false,cb8pyebbxihiv6jtq58t1du3b,2022-04-18T19:36:24Z,"soft pop","Atlantic Records UK",0.589,0.242,6,-10.517,1,0.0442,0.914,0,0.0887,0.257,89.749,4
spotify:track:1eeH1RFX5lF4hf8qu9PCLN,"antithesis","antithesis","ist;Ghøst",2025-01-31,77272,41,false,cb8pyebbxihiv6jtq58t1du3b,2025-01-31T18:44:22Z,"dark ambient","iSpyTunes",0.406,0.0478,5,-25.231,0,0.0341,0.968,0.902,0.138,0.0399,132.069,4
